x,y,z,,x,y,z,,x,y,z
-29.79912867,23.9807736,0,,28.80132898,-7.276733702,0,,58.60045765,-31.2575073,0
-30.02154071,23.77078176,0,,27.85756213,-6.947612809,0,,57.87910284,-30.71839457,0
-30.23569172,23.60277964,0,,26.90596565,-6.637497092,0,,57.14165737,-30.24027673,0
-30.42474315,23.47508014,0,,25.94745575,-6.344387134,0,,56.3721989,-29.81946727,0
-30.60043006,23.37500634,0,,24.97581484,-6.049350726,0,,55.5762449,-29.42435707,0
-30.77878402,23.28787095,0,,23.98316773,-5.746622233,0,,54.76195175,-29.03449318,0
-30.97527297,23.20668661,0,,22.95681281,-5.449746219,0,,53.93208578,-28.65643283,0
-31.21081219,23.07549475,0,,21.87181516,-5.142796434,0,,53.08262735,-28.21829118,0
-31.48710213,22.92613809,0,,20.71126305,-4.835798304,0,,52.19836518,-27.76193639,0
-31.80012655,22.73946826,0,,19.47723476,-4.531248609,0,,51.27736131,-27.27071687,0
-32.13503405,22.5525518,0,,18.19862167,-4.271686156,0,,50.33365572,-26.82423796,0
-32.47023354,22.42810764,0,,16.91341249,-4.058356798,0,,49.38364603,-26.48646444,0
-32.78975732,22.38041993,0,,15.66829235,-3.889922793,0,,48.45804967,-26.27034272,0
-33.07872438,22.34337571,0,,14.47709002,-3.724312765,0,,47.5558144,-26.06768848,0
-33.33712355,22.28840226,0,,13.32424045,-3.543417392,0,,46.661364,-25.83181965,0
-33.58267708,22.16349356,0,,12.17851494,-3.330782876,0,,45.76119202,-25.49427644,0
-33.81089875,22.00177273,0,,11.01053878,-3.109038008,0,,44.82143753,-25.11081074,0
-34.01533015,21.83072275,0,,9.812502283,-2.892797249,0,,43.82783243,-24.72352,0
-34.18633221,21.63855697,0,,8.577297653,-2.683535837,0,,42.76362986,-24.32209281,0
-34.34052196,21.5248112,0,,7.306575001,-2.520380305,0,,41.64709696,-24.04519151,0
-34.51186301,21.44266966,0,,6.024771923,-2.394267098,0,,40.53663493,-23.83693676,0
-34.72776365,21.39090037,0,,4.790201869,-2.300718739,0,,39.51796552,-23.69161911,0
-34.99689551,21.33782507,0,,3.610022185,-2.215563177,0,,38.6069177,-23.55338825,0
-35.30519368,21.26155008,0,,2.458905197,-2.129358559,0,,37.76409888,-23.39090864,0
-35.61840378,21.17526555,0,,1.303143806,-2.051867542,0,,36.92154759,-23.22713309,0
-35.88796085,21.12267246,0,,0.125992702,-2.006938722,0,,36.01395355,-23.12961118,0
-36.07561566,21.10886004,0,,-1.069236983,-1.982109901,0,,35.00637868,-23.09096994,0
-36.18153207,21.13675307,0,,-2.274126889,-1.952450078,0,,33.90740518,-23.08920315,0
-36.25258621,21.17310298,0,,-3.481274984,-1.900383676,0,,32.77131123,-23.07348666,0
-36.3267392,21.18117701,0,,-4.665279666,-1.835950376,0,,31.66145953,-23.01712739,0
-36.42018623,21.1562699,0,,-5.814155641,-1.758121907,0,,30.60603059,-22.91439181,0
-36.54744337,21.10234765,0,,-6.958303013,-1.655644828,0,,29.58914036,-22.75799248,0
-36.72103186,21.02699654,0,,-8.136421469,-1.546818448,0,,28.58461039,-22.57381499,0
-36.94474886,20.91023877,0,,-9.365773295,-1.440247584,0,,27.57897557,-22.35048635,0
-37.18401705,20.79174093,0,,-10.632587,-1.35364926,0,,26.55143005,-22.14539019,0
-37.39782125,20.66064737,0,,-11.92265006,-1.279161522,0,,25.47517119,-21.93980889,0
-37.54870832,20.56933187,0,,-13.20692601,-1.219262036,0,,24.34178231,-21.78859391,0
-37.6381092,20.48696357,0,,-14.46561065,-1.145889657,0,,23.17249855,-21.63285323,0
-37.68078849,20.43863334,0,,-15.67280281,-1.064967951,0,,22.00798568,-21.50360129,0
-37.69346258,20.39551629,0,,-16.81786713,-0.973121923,0,,20.87559545,-21.36863821,0
-37.69809931,20.33339127,0,,-17.9195108,-0.855483443,0,,19.77858851,-21.18887471,0
-37.71624995,20.24777554,0,,-19.01572609,-0.714659554,0,,18.70052386,-20.96243509,0
-37.76390462,20.14525394,0,,-20.13437862,-0.560435753,0,,17.629526,-20.70568969,0
-37.83248542,19.99561795,0,,-21.27422796,-0.394459139,0,,16.55825746,-20.39007709,0
-37.90022943,19.83923295,0,,-22.40240535,-0.240842243,0,,15.49782408,-20.08007519,0
-37.95096147,19.66925328,0,,-23.49998641,-0.09231646,0,,14.45097506,-19.76156974,0
-37.96573127,19.50221433,0,,-24.5424987,0.036889408,0,,13.42323257,-19.46532492,0
-37.94076938,19.34981293,0,,-25.52334871,0.176417109,0,,12.41742067,-19.17339582,0
-37.88528042,19.22508629,0,,-26.44595548,0.305331315,0,,11.43932494,-18.91975498,0
-37.81425821,19.10179942,0,,-27.33212104,0.436399925,0,,10.48213717,-18.6653995,0
-37.73755445,18.96148652,0,,-28.19070725,0.578773962,0,,9.5468472,-18.38271256,0
-37.66048971,18.82163426,0,,-29.03042686,0.714648148,0,,8.63006285,-18.10698611,0
-37.59075766,18.67327071,0,,-29.86364477,0.862597576,0,,7.72711289,-17.81067313,0
-37.53200171,18.51957363,0,,-30.69745927,1.019782158,0,,6.83454244,-17.49979147,0
-37.48284429,18.37280299,0,,-31.53541448,1.174541197,0,,5.94742981,-17.19826179,0
-37.4598549,18.21193645,0,,-32.39212064,1.341613862,0,,5.06773426,-16.87032259,0
-37.46245001,18.02961003,0,,-33.26743822,1.519748746,0,,4.19501179,-16.50986128,0
-37.48860567,17.8420278,0,,-34.16294862,1.70910477,0,,3.32565705,-16.13292303,0
-37.52579795,17.62151993,0,,-35.07600814,1.93634378,0,,2.44978981,-15.68517615,0
-37.56012411,17.37094627,0,,-35.99415539,2.199062456,0,,1.56596872,-15.17188381,0
-37.57372348,17.08006586,0,,-36.91240418,2.516475325,0,,0.6613193,-14.56359054,0
-37.54989526,16.70884143,0,,-37.80767756,2.894396284,0,,-0.2577823,-13.81444515,0
-37.4680727,16.2768859,0,,-38.65781847,3.332721623,0,,-1.18974577,-12.94416428,0
-37.32282193,15.80363656,0,,-39.4457208,3.802539339,0,,-2.12289887,-12.00109722,0
-37.13133059,15.34354285,0,,-40.16981574,4.264269659,0,,-3.03848515,-11.07927319,0
-36.91927519,14.96342018,0,,-40.83464757,4.661739681,0,,-3.91537238,-10.3016805,0
-36.71037698,14.75939201,0,,-41.45015172,4.939858507,0,,-4.73977474,-9.819533503,0
-36.51597738,14.76305867,0,,-42.02647261,5.065982856,0,,-5.51049523,-9.697075814,0
-36.33767236,14.93083319,0,,-42.57429743,5.064506603,0,,-6.23662507,-9.866326587,0
-36.17380991,15.17783231,0,,-43.10350139,4.999940134,0,,-6.92969148,-10.17789218,0
-36.02076737,15.4652171,0,,-43.6212385,4.896386405,0,,-7.60047113,-10.5688307,0
-35.87573359,15.74344042,0,,-44.12945354,4.798396697,0,,-8.25371995,-10.94504372,0
-35.73226315,15.9599758,0,,-44.6434789,4.736405406,0,,-8.91121575,-11.22357039,0
-35.59001973,16.0920638,0,,-45.16449734,4.722828982,0,,-9.57447761,-11.36923482,0
-35.44452338,16.12650493,0,,-45.6986234,4.776505843,0,,-10.25410002,-11.34999909,0
-35.29300923,16.09701696,0,,-46.24472403,4.873171961,0,,-10.9517148,-11.223845,0
-35.13315101,16.01972424,0,,-46.79394474,5.009997159,0,,-11.66079373,-11.00972708,0
